Order,DC-WH,Customer,SCTN,Invoice,Route,Lines,Cases,Weight,Cube
30228,24-24,18713,GRO,5751112,5070-,3,3,17.69,1.187
30136,24-24,18484,,5750979,5070-,1,105,1059.35,61.601
30137,24-24,18484,,5750980,5070-,1,144,1689.21,57.979
30138,24-24,18484,,5750981,5070-,1,83,895.4,29.48
30139,24-24,18484,,5750982,5070-,1,120,1006.11,35.913
30140,24-24,18484,,5750983,5070-,1,12,57.86,2.839
30141,24-24,18484,,5750984,5070-,1,1,9.2,6.02
30226,24-24,18713,,5751110,5070-,2,77,1043.01,39.014
30227,24-24,18713,,5751111,5070-,2,41,533.47,20.323
30228,24-24,18713,,5751112,5070-,2,10,48.57,2.486
30124,24-24,18315,GRO,5750955,5071-,139,165,2576.86,120.865
30125,24-24,18315,GRO,5750956,5071-,6,6,39.25,1.836
30126,24-24,18315,GRO,5750957,5071-,10,11,164.78,31.04
30127,24-24,18343,GRO,5750961,5071-,27,29,577.79,25.966
30128,24-24,18343,GRO,5750962,5071-,3,13,103.85,60.571
30124,24-24,18315,,5750955,5071-,1,132,1151.19,49.302
30125,24-24,18315,,5750956,5071-,1,11,54.52,2.733
30126,24-24,18315,,5750957,5071-,1,5,35.75,2.056
30127,24-24,18343,,5750961,5071-,2,2,16.8,0.444
30120,24-24,16359,GRO,5750942,5072-,179,338,7826.93,261.997
30121,24-24,16359,GRO,5750943,5072-,67,82,1452.06,60.656
30122,24-24,16359,GRO,5750944,5072-,16,16,154.54,7.663
30123,24-24,16359,GRO,5750945,5072-,1,1,18,1.556
30120,24-24,16359,,5750942,5072-,1,42,658.98,19.659
30121,24-24,16359,,5750943,5072-,1,10,143.15,5.449
30122,24-24,16359,,5750944,5072-,1,4,20.41,0.728
